admin,uloha 1 - kontrola zaznamov,2025-05-21,true
admin,uloha 2 - spracovanie reportu,2025-12-13,false
admin,uloha 3 - riesenie ticketu,2025-08-05,true
admin,uloha 4 - overenie platby,2025-04-30,false
admin,uloha 5 - naplanovat meeting,2025-04-12,false
reklamacia,uloha 6 - overenie platby,2025-08-18,false
admin,uloha 7 - followup s klientom,2025-12-24,false
reklamacia,uloha 8 - followup s klientom,2025-04-21,false
reklamacia,uloha 9 - spracovanie reportu,2025-02-17,false
reklamacia,uloha 10 - nastavenie pristupov,2025-11-06,true
admin,uloha 11 - interny audit,2025-10-02,true
reklamacia,uloha 12 - spracovanie reportu,2025-10-10,true
reklamacia,uloha 13 - riesenie ticketu,2025-04-09,false
admin,uloha 14 - overenie platby,2025-05-29,false
admin,uloha 15 - spracovanie reportu,2025-07-14,true
reklamacia,uloha 16 - followup s klientom,2025-07-09,false
reklamacia,uloha 17 - spracovanie reportu,2025-11-08,false
admin,uloha 18 - followup s klientom,2025-08-25,false
admin,uloha 19 - nastavenie pristupov,2025-01-29,true
admin,uloha 20 - nastavenie pristupov,2025-07-25,true
admin,uloha 21 - riesenie ticketu,2025-06-11,true
reklamacia,uloha 22 - priprava podkladov,2025-11-26,false
reklamacia,uloha 23 - followup s klientom,2025-05-07,false
reklamacia,uloha 24 - riesenie ticketu,2025-08-08,false
reklamacia,uloha 25 - nastavenie pristupov,2025-04-23,false
admin,uloha 26 - naplanovat meeting,2025-09-10,true
admin,uloha 27 - spracovanie reportu,2025-03-20,false
reklamacia,uloha 28 - riesenie ticketu,2025-02-02,false
reklamacia,uloha 29 - naplanovat meeting,2025-05-09,false
admin,uloha 30 - spracovanie reportu,2025-12-16,false
reklamacia,uloha 31 - nastavenie pristupov,2025-02-27,true
admin,uloha 32 - interny audit,2025-01-02,false
reklamacia,uloha 33 - naplanovat meeting,2025-04-02,false
admin,uloha 34 - aktualizacia dokumentacie,2025-11-24,false
admin,uloha 35 - followup s klientom,2025-07-11,false
admin,uloha 36 - riesenie ticketu,2025-06-15,false
admin,uloha 37 - nastavenie pristupov,2025-06-07,true
admin,uloha 38 - riesenie ticketu,2025-02-10,true
reklamacia,uloha 39 - spracovanie reportu,2025-09-30,false
admin,uloha 40 - interny audit,2025-10-09,true
reklamacia,uloha 41 - overenie platby,2025-10-04,false
admin,uloha 42 - aktualizacia dokumentacie,2025-07-24,false
reklamacia,uloha 43 - interny audit,2025-09-22,false
admin,uloha 44 - overenie platby,2025-02-02,false
admin,uloha 45 - riesenie ticketu,2025-04-23,true
admin,uloha 46 - overenie platby,2025-02-04,false
reklamacia,uloha 47 - spracovanie reportu,2025-09-21,true
reklamacia,uloha 48 - overenie platby,2025-10-04,true
reklamacia,uloha 49 - overenie platby,2025-08-31,false
admin,uloha 50 - spracovanie reportu,2025-02-19,false
reklamacia,uloha 51 - priprava podkladov,2025-07-30,false
admin,uloha 52 - spracovanie reportu,2025-02-01,false
reklamacia,uloha 53 - spracovanie reportu,2025-05-08,true
reklamacia,uloha 54 - followup s klientom,2025-08-05,true
reklamacia,uloha 55 - overenie platby,2025-02-08,false
admin,uloha 56 - kontrola zaznamov,2025-11-30,false
admin,uloha 57 - spracovanie reportu,2025-05-02,true
reklamacia,uloha 58 - interny audit,2025-04-20,false
admin,uloha 59 - followup s klientom,2025-07-14,true
reklamacia,uloha 60 - aktualizacia dokumentacie,2025-08-21,true
reklamacia,uloha 61 - followup s klientom,2025-04-08,true
admin,uloha 62 - riesenie ticketu,2025-10-05,true
reklamacia,uloha 63 - kontrola zaznamov,2025-01-26,false
admin,uloha 64 - kontrola zaznamov,2025-09-18,true
admin,uloha 65 - spracovanie reportu,2025-11-01,true
admin,uloha 66 - priprava podkladov,2025-03-03,false
admin,uloha 67 - riesenie ticketu,2025-11-01,true
admin,uloha 68 - priprava podkladov,2025-12-03,false
reklamacia,uloha 69 - aktualizacia dokumentacie,2025-04-15,false
reklamacia,uloha 70 - overenie platby,2025-05-16,false
reklamacia,uloha 71 - interny audit,2025-06-11,false
admin,uloha 72 - kontrola zaznamov,2025-08-23,false
admin,uloha 73 - spracovanie reportu,2025-10-03,true
reklamacia,uloha 74 - followup s klientom,2025-06-28,false
admin,uloha 75 - nastavenie pristupov,2025-05-26,true
reklamacia,uloha 76 - riesenie ticketu,2025-12-01,false
reklamacia,uloha 77 - spracovanie reportu,2025-03-10,true
admin,uloha 78 - naplanovat meeting,2025-03-21,true
admin,uloha 79 - nastavenie pristupov,2025-04-15,false
reklamacia,uloha 80 - naplanovat meeting,2025-09-08,true
admin,uloha 81 - spracovanie reportu,2025-11-21,false
reklamacia,uloha 82 - kontrola zaznamov,2025-01-02,false
admin,uloha 83 - aktualizacia dokumentacie,2025-03-24,false
reklamacia,uloha 84 - naplanovat meeting,2025-01-05,true
admin,uloha 85 - naplanovat meeting,2025-01-19,false
admin,uloha 86 - priprava podkladov,2025-03-07,true
reklamacia,uloha 87 - kontrola zaznamov,2025-07-03,true
admin,uloha 88 - spracovanie reportu,2025-07-01,false
reklamacia,uloha 89 - riesenie ticketu,2025-03-21,false
admin,uloha 90 - followup s klientom,2025-04-01,false
admin,uloha 91 - followup s klientom,2025-06-20,false
reklamacia,uloha 92 - overenie platby,2025-05-17,true
admin,uloha 93 - priprava podkladov,2025-01-20,false
admin,uloha 94 - overenie platby,2025-08-24,false
admin,uloha 95 - overenie platby,2025-01-13,false
reklamacia,uloha 96 - nastavenie pristupov,2025-05-23,false
reklamacia,uloha 97 - nastavenie pristupov,2025-11-25,false
reklamacia,uloha 98 - kontrola zaznamov,2025-03-01,false
reklamacia,uloha 99 - followup s klientom,2025-10-25,false
reklamacia,uloha 100 - kontrola zaznamov,2025-02-25,false
reklamacia,uloha 101 - nastavenie pristupov,2025-08-12,false
admin,uloha 102 - priprava podkladov,2025-10-23,true
admin,uloha 103 - priprava podkladov,2025-01-01,false
admin,uloha 104 - nastavenie pristupov,2025-08-09,true
reklamacia,uloha 105 - riesenie ticketu,2025-06-10,false
admin,uloha 106 - aktualizacia dokumentacie,2025-09-17,false
